dataset,variant,seed,f1_cont,f1_crisp,acc,dn_pre,dn_post,crystallized,converged,iterations,final_mse,time_s,reason
monk,LM_base,42,0.4856,0.5418,0.4676,220.0361,0.0,True,False,55,0.324659,10.95,stagnation
monk,LM_base,59,0.6316,0.0,0.5,307.9884,0.0,True,False,2000,0.233871,2.54,max_iter
monk,LM_base,76,0.0,0.6667,0.5,367.6437,0.0,True,False,2000,0.459677,16.09,max_iter
monk,LM_base,93,0.6667,0.6667,0.75,310.8363,0.0,True,False,2000,0.217742,2.2,max_iter
monk,LM_base,110,0.5393,0.578,0.5741,315.8389,0.0,True,False,2000,0.362903,17.53,max_iter
monk,LM_base,127,0.8643,0.0,0.5,332.0775,0.0,True,False,99,0.122364,38.07,stagnation
monk,LM_base,144,0.6667,0.6667,0.5,325.1923,0.0,True,False,2000,0.540323,10.68,max_iter
monk,LM_base,161,0.6667,0.6667,0.5,376.9451,0.0,True,False,2000,0.540323,15.88,max_iter
monk,LM_base,178,0.7203,0.6921,0.7014,293.3892,0.0,True,False,260,0.30276,77.72,stagnation
monk,LM_base,195,0.6545,0.6667,0.5,312.3126,0.0,True,False,2000,0.225806,6.11,max_iter
monk,LM_delayed,42,0.6667,0.0,0.5,316.5297,0.0,True,False,2000,0.217742,6.15,max_iter
monk,LM_delayed,59,0.6667,0.6667,0.5,318.1059,0.0,True,False,2000,0.217742,4.03,max_iter
monk,LM_delayed,76,0.7879,0.0,0.5,324.7658,0.0,True,False,2000,0.112903,4.05,max_iter
monk,LM_delayed,93,0.6585,0.6667,0.75,311.7639,0.0,True,False,2000,0.217742,0.43,max_iter
monk,LM_delayed,110,0.7879,0.0,0.5,311.9864,0.0,True,False,2000,0.112903,6.13,max_iter
monk,LM_delayed,127,0.0,0.0,0.5,0.0,0.0,True,True,18,0.459677,6.51,converged
monk,LM_delayed,144,0.9091,0.0,0.5,326.0897,0.0,True,False,2000,0.048387,25.42,max_iter
monk,LM_delayed,161,0.0,0.0,0.5,0.0,0.0,True,True,18,0.459677,3.33,converged
monk,LM_delayed,178,0.6667,0.6667,0.5,294.7633,0.0,True,False,2000,0.217742,7.86,max_iter
monk,LM_delayed,195,0.6647,0.6667,0.5,303.7464,0.0,True,False,2000,0.201613,4.75,max_iter
monk,LM_progressive,42,0.4856,0.5418,0.4676,220.0361,0.0,True,False,55,0.324659,24.4,stagnation
monk,LM_progressive,59,0.6316,0.0,0.5,307.9884,0.0,True,False,2000,0.233871,11.38,max_iter
monk,LM_progressive,76,0.0,0.6667,0.5,367.6437,0.0,True,False,2000,0.459677,8.97,max_iter
monk,LM_progressive,93,0.6667,0.6667,0.75,310.8363,0.0,True,False,2000,0.217742,2.28,max_iter
monk,LM_progressive,110,0.5393,0.578,0.5741,315.8389,0.0,True,False,2000,0.362903,31.17,max_iter
monk,LM_progressive,127,0.8643,0.0,0.5,332.0775,0.0,True,False,99,0.122364,37.35,stagnation
monk,LM_progressive,144,0.6667,0.6667,0.5,325.1923,0.0,True,False,2000,0.540323,9.33,max_iter
monk,LM_progressive,161,0.6667,0.6667,0.5,376.9451,0.0,True,False,2000,0.540323,15.07,max_iter
monk,LM_progressive,178,0.7203,0.6921,0.7014,293.3892,0.0,True,False,260,0.30276,145.76,stagnation
monk,LM_progressive,195,0.6545,0.6667,0.5,312.3126,0.0,True,False,2000,0.225806,4.17,max_iter
monk,LM_dual,42,0.4856,0.5418,0.4676,220.0361,0.0,True,False,55,0.324659,35.04,stagnation
monk,LM_dual,59,0.6316,0.0,0.5,307.9884,0.0,True,False,2000,0.233871,25.85,max_iter
monk,LM_dual,76,0.0,0.6667,0.5,367.6437,0.0,True,False,2000,0.459677,43.07,max_iter
monk,LM_dual,93,0.6667,0.6667,0.75,310.8363,0.0,True,False,2000,0.217742,9.82,max_iter
monk,LM_dual,110,0.5393,0.578,0.5741,315.8389,0.0,True,False,2000,0.362903,31.52,max_iter
monk,LM_dual,127,0.8643,0.0,0.5,332.0775,0.0,True,False,99,0.122364,47.05,stagnation
monk,LM_dual,144,0.6667,0.6667,0.5,325.1923,0.0,True,False,2000,0.540323,9.0,max_iter
monk,LM_dual,161,0.6667,0.6667,0.5,376.9451,0.0,True,False,2000,0.540323,18.28,max_iter
monk,LM_dual,178,0.7203,0.6921,0.7014,293.3892,0.0,True,False,260,0.30276,80.32,stagnation
monk,LM_dual,195,0.6545,0.6667,0.5,312.3126,0.0,True,False,2000,0.225806,7.82,max_iter
monk,LM_hybrid,42,0.6269,0.5767,0.5718,205.0011,0.0,True,False,448,0.178563,16.41,p2_stagnation
monk,LM_hybrid,59,0.0,0.0,0.5,41.2499,0.0,True,False,269,0.459677,12.79,p2_stagnation
monk,LM_hybrid,76,0.7586,0.6667,0.75,285.4818,0.0,True,False,738,0.103217,19.26,hardening_done
monk,LM_hybrid,93,0.6667,0.6667,0.75,247.5814,0.0,True,False,255,0.217742,7.62,p2_stagnation
monk,LM_hybrid,110,0.7586,0.6154,0.7222,332.4527,0.0,True,False,666,0.108359,29.62,hardening_done
monk,LM_hybrid,127,0.6667,0.6667,0.75,0.0,0.0,True,True,205,0.217742,24.12,dual_stop
monk,LM_hybrid,144,0.6667,0.6667,0.5,284.1851,0.0,True,False,269,0.540323,23.69,p2_stagnation
monk,LM_hybrid,161,0.9045,0.2857,0.5833,293.4122,0.0,True,False,554,0.067526,21.2,hardening_done
monk,LM_hybrid,178,0.7513,0.6264,0.6991,243.1607,0.0,True,False,582,0.071076,12.1,hardening_done
monk,LM_hybrid,195,0.6667,0.6667,0.5,277.2361,0.0,True,False,571,0.154877,6.69,hardening_done
