dataset,variant,seed,f1,acc,dn_post,bf_pre,converged,iterations,final_mse,time_s,reason
monk,STE_base,42,0.8411,0.8495,0.0,0.4706,False,700,0.072581,1.99,stagnation
monk,STE_base,59,0.892,0.8912,0.0,0.4454,False,560,0.032258,0.78,converged
monk,STE_base,76,0.7238,0.7685,0.0,0.4521,False,333,0.177419,0.46,stagnation
monk,STE_base,93,0.8404,0.8171,0.0,0.4605,False,491,0.120968,0.68,stagnation
monk,STE_base,110,0.0181,0.4977,0.0,0.3882,False,104,0.459677,0.15,stagnation
monk,STE_base,127,0.6889,0.6551,0.0,0.4319,False,310,0.274194,0.43,stagnation
monk,STE_base,144,0.0,0.5,0.0,0.3983,False,108,0.459677,0.15,stagnation
monk,STE_base,161,0.5743,0.7014,0.0,0.4773,False,951,0.225806,1.32,stagnation
monk,STE_base,178,0.8632,0.8796,0.0,0.4655,False,602,0.104839,0.83,stagnation
monk,STE_base,195,0.6687,0.5046,0.0,0.4319,False,101,0.540323,0.15,stagnation
monk,STE_base,212,0.7318,0.6505,0.0,0.4588,False,470,0.322581,0.67,stagnation
monk,STE_base,229,0.8041,0.7778,0.0,0.4471,False,980,0.145161,1.35,stagnation
monk,STE_base,246,0.5048,0.6412,0.0,0.4387,False,241,0.225806,0.34,stagnation
monk,STE_base,263,0.0,0.5,0.0,0.4101,False,105,0.459677,0.14,stagnation
monk,STE_base,280,0.8832,0.8727,0.0,0.4605,False,740,0.056452,1.01,converged
monk,STE_base,297,0.7871,0.8171,0.0,0.4084,False,406,0.104839,0.57,stagnation
monk,STE_base,314,0.8542,0.8681,0.0,0.4857,False,562,0.048387,0.78,converged
monk,STE_base,331,0.847,0.831,0.0,0.4588,False,402,0.129032,0.61,stagnation
monk,STE_base,348,0.0,0.5,0.0,0.437,False,114,0.459677,0.18,stagnation
monk,STE_base,365,0.7594,0.7477,0.0,0.4891,False,688,0.112903,0.96,stagnation
monk,STE_base,382,0.7619,0.7338,0.0,0.4521,False,610,0.193548,0.87,stagnation
monk,STE_base,399,0.735,0.6829,0.0,0.4319,False,304,0.282258,0.47,stagnation
monk,STE_base,416,0.8073,0.8032,0.0,0.4588,False,434,0.112903,0.66,stagnation
monk,STE_base,433,0.7325,0.7431,0.0,0.4471,False,410,0.201613,0.64,stagnation
monk,STE_base,450,0.8802,0.8727,0.0,0.4605,False,363,0.048387,0.55,converged
monk,STE_base,467,0.0,0.5,0.0,0.4437,False,108,0.459677,0.16,stagnation
monk,STE_base,484,0.7679,0.7523,0.0,0.4555,False,542,0.16129,0.82,stagnation
monk,STE_base,501,0.7579,0.7176,0.0,0.4756,False,610,0.225806,0.94,stagnation
monk,STE_base,518,0.6667,0.5,0.0,0.4471,False,101,0.540323,0.16,stagnation
monk,STE_base,535,0.7843,0.7454,0.0,0.4588,False,648,0.145161,1.01,stagnation
monk,STE_reg,42,0.668,0.6296,0.0,0.3176,False,293,0.330645,0.6,stagnation
monk,STE_reg,59,0.8668,0.8634,0.0,0.3059,False,398,0.072581,0.81,stagnation
monk,STE_reg,76,0.7752,0.7731,0.0,0.284,False,370,0.185484,0.77,stagnation
monk,STE_reg,93,0.8481,0.8449,0.0,0.2941,False,430,0.137097,0.89,stagnation
monk,STE_reg,110,0.5707,0.6273,0.0,0.3412,False,304,0.306452,0.64,stagnation
monk,STE_reg,127,0.7126,0.6713,0.0,0.405,False,206,0.33871,0.43,stagnation
monk,STE_reg,144,0.764,0.8056,0.0,0.3513,False,255,0.177419,0.51,stagnation
monk,STE_reg,161,0.6388,0.7199,0.0,0.163,False,501,0.233871,1.04,stagnation
monk,STE_reg,178,0.898,0.9074,0.0,0.2538,False,465,0.064516,0.97,stagnation
monk,STE_reg,195,0.5975,0.7037,0.0,0.3445,False,265,0.225806,0.56,stagnation
monk,STE_reg,212,0.8316,0.8171,0.0,0.3311,False,337,0.120968,0.71,stagnation
monk,STE_reg,229,0.7662,0.7824,0.0,0.2521,False,400,0.16129,0.79,stagnation
monk,STE_reg,246,0.5183,0.6644,0.0,0.4067,False,296,0.274194,0.51,stagnation
monk,STE_reg,263,0.6667,0.5,0.0,0.1479,False,256,0.540323,0.43,stagnation
monk,STE_reg,280,0.7458,0.7917,0.0,0.2689,False,437,0.129032,0.73,stagnation
monk,STE_reg,297,0.6851,0.6319,0.0,0.3345,False,233,0.258065,0.4,stagnation
monk,STE_reg,314,0.7066,0.7731,0.0,0.2336,False,420,0.169355,0.71,stagnation
monk,STE_reg,331,0.7586,0.7083,0.0,0.3126,False,391,0.306452,0.65,stagnation
monk,STE_reg,348,0.8675,0.8472,0.0,0.1647,False,485,0.16129,0.97,stagnation
monk,STE_reg,365,0.8158,0.8056,0.0,0.3076,False,417,0.153226,0.82,stagnation
monk,STE_reg,382,0.7804,0.7407,0.0,0.2773,False,448,0.233871,0.94,stagnation
monk,STE_reg,399,0.9118,0.9167,0.0,0.1866,False,538,0.048387,1.01,stagnation
monk,STE_reg,416,0.7211,0.7708,0.0,0.2924,False,359,0.16129,0.64,stagnation
monk,STE_reg,433,0.7696,0.7616,0.0,0.3647,False,310,0.177419,0.58,stagnation
monk,STE_reg,450,0.8606,0.838,0.0,0.2538,False,398,0.153226,0.79,stagnation
monk,STE_reg,467,0.65,0.7407,0.0,0.195,False,447,0.209677,0.8,stagnation
monk,STE_reg,484,0.7197,0.6898,0.0,0.3328,False,284,0.266129,0.56,stagnation
monk,STE_reg,501,0.6919,0.6991,0.0,0.2286,False,472,0.258065,0.82,stagnation
monk,STE_reg,518,0.0,0.5,0.0,0.2571,False,159,0.459677,0.29,stagnation
monk,STE_reg,535,0.6797,0.6574,0.0,0.3193,False,227,0.282258,0.43,stagnation
monk,STE_dual,42,0.668,0.6296,0.0,0.3176,False,293,0.330645,0.59,stagnation
monk,STE_dual,59,0.8668,0.8634,0.0,0.3059,False,398,0.072581,0.8,stagnation
monk,STE_dual,76,0.7752,0.7731,0.0,0.284,False,370,0.185484,0.79,stagnation
monk,STE_dual,93,0.6358,0.7269,0.0,0.3412,False,222,0.233871,0.46,dual_stop
monk,STE_dual,110,0.5707,0.6273,0.0,0.3412,False,304,0.306452,0.59,stagnation
monk,STE_dual,127,0.7126,0.6713,0.0,0.405,False,206,0.33871,0.38,stagnation
monk,STE_dual,144,0.764,0.8056,0.0,0.3513,False,255,0.177419,0.46,stagnation
monk,STE_dual,161,0.6388,0.7199,0.0,0.163,False,501,0.233871,0.92,stagnation
monk,STE_dual,178,0.8148,0.8264,0.0,0.3109,False,296,0.112903,0.52,dual_stop
monk,STE_dual,195,0.5975,0.7037,0.0,0.3445,False,265,0.225806,0.46,stagnation
monk,STE_dual,212,0.8316,0.8171,0.0,0.3311,False,237,0.120968,0.46,dual_stop
monk,STE_dual,229,0.7662,0.7824,0.0,0.2521,False,400,0.16129,0.73,stagnation
monk,STE_dual,246,0.5183,0.6644,0.0,0.4067,False,296,0.274194,0.53,stagnation
monk,STE_dual,263,0.6667,0.5,0.0,0.1479,False,256,0.540323,0.45,stagnation
monk,STE_dual,280,0.7458,0.7917,0.0,0.2689,False,437,0.129032,0.76,stagnation
monk,STE_dual,297,0.6851,0.6319,0.0,0.3345,False,233,0.258065,0.46,stagnation
monk,STE_dual,314,0.7066,0.7731,0.0,0.2336,False,420,0.169355,0.79,stagnation
monk,STE_dual,331,0.8953,0.8912,0.0,0.3445,False,256,0.08871,0.44,dual_stop
monk,STE_dual,348,0.8675,0.8472,0.0,0.1647,False,385,0.16129,0.77,dual_stop
monk,STE_dual,365,0.8158,0.8056,0.0,0.3076,False,317,0.153226,0.6,dual_stop
monk,STE_dual,382,0.8324,0.8565,0.0,0.2975,False,336,0.064516,0.65,dual_stop
monk,STE_dual,399,0.759,0.7824,0.0,0.3429,False,251,0.177419,0.5,dual_stop
monk,STE_dual,416,0.7211,0.7708,0.0,0.2924,False,359,0.16129,0.66,stagnation
monk,STE_dual,433,0.7696,0.7616,0.0,0.3647,False,310,0.177419,0.56,stagnation
monk,STE_dual,450,0.8726,0.8634,0.0,0.3378,False,202,0.120968,0.36,dual_stop
monk,STE_dual,467,0.65,0.7407,0.0,0.195,False,447,0.209677,0.85,stagnation
monk,STE_dual,484,0.7197,0.6898,0.0,0.3328,False,284,0.266129,0.5,stagnation
monk,STE_dual,501,0.6919,0.6991,0.0,0.2286,False,472,0.258065,0.84,stagnation
monk,STE_dual,518,0.0,0.5,0.0,0.2571,False,159,0.459677,0.3,stagnation
monk,STE_dual,535,0.6797,0.6574,0.0,0.3193,False,227,0.282258,0.45,stagnation
monk,STE_hybrid,42,0.739,0.7662,0.0,0.3412,False,699,0.209677,1.19,dual_stop
monk,STE_hybrid,59,0.773,0.8056,0.0,0.3126,False,832,0.096774,1.23,dual_stop
monk,STE_hybrid,76,0.6352,0.7315,0.0,0.1966,False,737,0.225806,1.17,p2_stagnation
monk,STE_hybrid,93,0.815,0.8056,0.0,0.3496,False,742,0.16129,1.18,dual_stop
monk,STE_hybrid,110,0.0,0.5,0.0,0.0437,False,659,0.459677,1.25,p2_stagnation
monk,STE_hybrid,127,0.729,0.6782,0.0,0.3445,False,841,0.314516,1.24,dual_stop
monk,STE_hybrid,144,0.6667,0.7222,0.0,0.121,False,492,0.217742,0.87,p2_stagnation
monk,STE_hybrid,161,0.7188,0.7755,0.0,0.3227,False,628,0.16129,0.96,dual_stop
monk,STE_hybrid,178,0.7273,0.75,0.0,0.084,False,823,0.209677,1.5,p2_stagnation
monk,STE_hybrid,195,0.3636,0.6111,0.0,0.0538,False,859,0.379032,1.56,dual_stop
monk,STE_hybrid,212,0.8157,0.794,0.0,0.3412,False,574,0.185484,0.86,dual_stop
monk,STE_hybrid,229,0.6383,0.7245,0.0,0.2269,False,898,0.193548,1.38,p2_stagnation
monk,STE_hybrid,246,0.8264,0.8171,0.0,0.3395,False,804,0.153226,1.35,dual_stop
monk,STE_hybrid,263,0.6667,0.75,0.0,0.042,False,761,0.217742,1.37,p2_stagnation
monk,STE_hybrid,280,0.7208,0.7454,0.0,0.2891,False,617,0.201613,0.93,dual_stop
monk,STE_hybrid,297,0.8283,0.8148,0.0,0.2605,False,723,0.112903,1.14,dual_stop
monk,STE_hybrid,314,0.8165,0.8356,0.0,0.3445,False,779,0.120968,1.25,dual_stop
monk,STE_hybrid,331,0.8929,0.8912,0.0,0.0,False,406,0.040323,0.56,p1_converged
monk,STE_hybrid,348,0.0,0.5,0.0,0.0,False,741,0.459677,1.34,p2_stagnation
monk,STE_hybrid,365,0.7822,0.7963,0.0,0.3496,False,712,0.177419,1.11,dual_stop
monk,STE_hybrid,382,0.8976,0.8912,0.0,0.3496,False,661,0.112903,1.07,dual_stop
monk,STE_hybrid,399,0.7566,0.7454,0.0,0.2471,False,808,0.209677,1.28,p2_stagnation
monk,STE_hybrid,416,0.8276,0.838,0.0,0.2941,False,994,0.072581,1.5,dual_stop
monk,STE_hybrid,433,0.9011,0.8958,0.0,0.3311,False,726,0.064516,1.09,dual_stop
monk,STE_hybrid,450,0.8274,0.831,0.0,0.3462,False,465,0.064516,0.71,dual_stop
monk,STE_hybrid,467,0.8,0.8333,0.0,0.0437,False,883,0.129032,1.61,p2_stagnation
monk,STE_hybrid,484,0.6801,0.5972,0.0,0.2286,False,814,0.379032,1.28,p2_stagnation
monk,STE_hybrid,501,0.5864,0.6898,0.0,0.3244,False,579,0.233871,0.9,dual_stop
monk,STE_hybrid,518,0.0,0.5,0.0,0.0017,False,770,0.459677,1.42,p2_stagnation
monk,STE_hybrid,535,0.7657,0.7153,0.0,0.3496,False,560,0.274194,0.9,dual_stop
